-1.128	-0.236	-0.582	-0.516	0.162
-0.491	0.19	0.064	-0.2975	-0.408
2.381	2.346	0.839	-0.661	-1.102
-0.903	-0.101	0.017	-0.281	0.248
-0.634	0.176	0.339	-0.037	0.102
-0.7595	0.0595	0.238	-0.047	-0.106
-0.822	0.177	0.327	-0.123	-0.219
-0.461	-0.402	-0.401	0.021	0.681
-0.457	0.048	-0.051	-0.678	-0.469
-0.81	-0.106	0.014	-0.335	-0.026
-0.965	-0.332	-0.41	-0.5135	-0.2825
-1.26	-0.5505	-0.5925	-0.227	0.8055
-0.499	-0.019	-0.022	-0.042	0.111
-0.897	-0.214	-0.273	0.012	0.1315
-1.543	-0.535	-0.137	0.361	-0.558
-1.073	-0.448	-0.272	-0.3	-0.256
-0.536	-0.26	-0.28	-0.002	-0.59
-0.984	-0.153	-0.179	-0.468	0.519
-0.522	0.02	-0.268	-0.453	-0.555
-0.618	0.236	-0.019	0.35	-0.257
-1.104	-0.077	-0.214	-0.171	0.295
-0.673	-0.276	-0.195	-0.261	-0.452
-1.026	-0.865	-0.437	0.048	0.253
-0.9303	-0.0623	-0.039	-0.1793	-0.6783
-0.069	0.274	0.37	0.207	0.459
-0.118	0.292	0.016	0.025	0.241
-0.01	0.62	0.352	0.15	0.173
-0.4385	-0.229	0	-0.3335	0.704
-0.138	0.553	0.354	0.306	0.023
-0.379	0.258	0.273	-0.163	0.461
-1	-0.008	-0.396	-0.298	0.448
-1.592	-0.361	-0.088	-0.321	-0.319
-0.7605	-0.1145	-0.1785	-0.7635	-0.768
-0.573	0.415	0	-0.197	-0.252
-2.555	-1.398	-1.138	-0.564	-0.059
0.585	-0.441	-0.922	0	0.855
0.375	1.07	1.089	0.543	0.404
-0.805	-0.349	-0.19	-0.059	-0.19
-0.6385	-0.3035	-0.245	-0.2695	0.51
-0.422	0.232	0.314	0.12	-0.277
0.22	0.708	0.696	-0.341	0.179
-0.936	0.038	-0.137	-0.475	0.105
-1.4145	-0.3655	-0.311	-1.06	0.3615
-0.447	0.175	-0.101	-0.02	0.601
-0.673	-0.255	-0.291	-0.25	0.044
2.41	3.385	3.374	1.94	3.776
-0.475	0.091	-0.012	0.058	-0.052
-0.823	-0.0815	0.0065	-0.465	-0.301
-0.671	-0.032	0.083	-0.093	0.293
-0.786	0.048	-0.033	-0.136	-0.399
-0.874	-0.226	0.081	-0.033	0.323
-1.162	-0.386	-0.082	-0.35	0.094
-0.884	-0.175	-0.167	0.021	0.189
-1.489	-0.0275	-0.4915	-0.504	0.3275
-0.8	-0.322	-0.556	-0.6643	-0.3773
-1.444	-0.404	-0.559	-0.71	-0.502
-0.382	-0.057	-0.158	-0.27	-0.197
-1.246	-0.511	-0.97	-0.639	-0.176
-1.142	-0.317	-0.195	-0.51	-0.35
-0.826	-0.079	-0.036	-0.225	-0.09
-1.099	-0.652	-0.388	-0.2775	0.5855
-0.862	-0.193	-0.318	-0.232	-0.112
