0.018	-0.173	-0.494
0.7695	-0.2315	0.42
0.151	-0.415	-0.708
0.135	0.384	0.115
0.546	0.717	0.386
0.107	0.106	0.612
0.383	0.576	-0.141
1.145	0.509	-0.129
0.62	0.686	0.612
-0.307	-0.539	-0.035
-0.378	-0.6145	-0.242
0.092	0.351	0.2875
-0.065	0.286	-0.18
0.569	0.731	0.125
0.224	0.711	0.331
-0.059	-0.095	-0.082
-0.416	-0.513	0.013
-0.615	-0.332	-0.377
-0.252	-0.156	-0.246
0.179	0.297	0.489
-0.406	-0.291	-0.667
-0.358	-0.303	-0.147
-0.369	0.139	-0.174
-0.228	-0.352	-0.565
-0.683	-0.487	0.2275
0.319	0.379	0.158
-0.128	0.006	-0.087
0.092	0.163	0.198
0.086	0.358	0.572
0.432	0.234	0.359
0.538	0.595	0.156
-0.191	-0.482	-0.395
0.265	-0.002	0.114
-0.452	-0.467	-0.381
-0.585	-0.243	-0.512
-0.346	-0.257	-0.315
-0.42	-0.3413	0.606
-0.227	0.531	0.973
-0.315	-0.507	-0.585
0.683	-0.0245	-0.227
-0.63	0.154	0.219
0.768	1.064	1.002
0.032	0.098	-0.413
0.576	-0.391	-0.351
0.535	0.761	0.113
0.878	0.009	0.581
4.738	4.626	3.698
0.06	0.26	0.359
-0.52	-0.362	-0.473
0.2465	-0.013	0.278
1.316	0.396	-0.474
-0.702	-0.77	-0.109
0.327	0.474	-0.2
-0.055	-0.066	0.311
0.231	0.245	0.451
1.308	0.312	0.209
0.611	0.1475	0.187
-0.472	-0.376	-0.772
0.195	0.161	0.515
0.242	-0.309	-0.536
0.255	0.022	0.29
0.075	-0.291	0.885
0.511	0.2995	0.04
-0.32	-0.064	0.118
-0.456	-0.521	-0.687
-0.078	-0.203	-1.11
0.609	0.706	0.101
-0.455	-0.47	-0.683
-0.305	-0.101	0.485
-0.816	0.189	0.241
-0.166	-0.1	0.089
0.205	0.09	-0.067
-0.203	-0.162	0.15
0.08	-0.107	-0.038
-0.345	0.294	-0.039
-0.131	-0.312	-0.08
0.893	-0.025	-0.279
-0.48	-0.488	-0.811
-0.2	0.185	0.652
-0.015	-0.017	-0.787
0.3392	0.322	0.719
-1.254	-0.213	-0.183
0.834	0.869	0.206
0.676	0.407	-0.056
0.287	-0.111	0.125
0.773	0.689	0.303
-0.086	-0.3695	0.2785
-0.92	-0.7895	-0.2345
-0.642	-0.253	-0.359
-0.6616	-0.8615	-0.5235
-0.26	-0.059	-0.401
-0.622	-0.02	0.191
-0.1805	-0.114	0.157
0.397	-0.362	-0.148
0.0945	-0.0025	-0.113
-0.585	0.007	0.347
-0.189	0.381	0.629
0.672	0.458	0.132
-0.501	-1.243	-1.048
0.163	-1.158	-0.629
0.331	-1.172	0.748
0.1515	1.2475	-0.1255
-0.453	-0.949	-0.737
0.3035	-0.221	0.4445
0.345	0.256	0.257
-0.991	0.101	0.239
0.081	-0.132	0.073
0.419	-0.019	0.144
0.129	0.48	0.646
-0.051	-0.224	-0.122
-0.561	0.096	0.309
-0.588	-0.359	-0.581
0.465	0.52	0.302
1.378	-0.126	0.275
0.341	0.583	0.681
-0.297	-0.007	0.79
0.3385	-0.1855	-0.3235
-0.005	0.119	-0.022
0.552	0.029	0.855
-0.432	-0.9	0.309
-0.929	0.063	0.564
0.531	0.623	1.776
0.692	0.708	-0.121
0.231	0.151	-0.223
0.673	0.294	-0.266
-0.1585	-0.5645	-0.839
-0.425	-0.465	-0.21
0.069	0.342	0.513
0.055	-0.017	-0.052
0.286	0.062	-0.116
