0.634	0.919	1.011	1.191	1.187	0.732	0.184	0.284
-0.0925	-0.2845	-0.1865	-0.247	-0.0355	-0.3375	-0.2575	-0.11
0.711	-0.22	-0.075	-0.009	-0.202	-0.22	-0.017	-0.433
-0.226	-0.247	-0.058	-0.037	0.128	-0.11	-0.159	0.197
-0.42	0.301	0.362	0.475	0.598	0.405	0.016	0.185
-0.36	-0.4455	-0.194	-0.2985	-0.0945	-0.287	-0.415	-0.3155
0.275	0.918	0.758	0.999	0.775	0.377	-0.036	-0.171
0.774	1.356	1.002	0.665	0.588	0.182	0.354	0.041
-0.112	-0.1633	-0.236	-0.277	-0.053	-0.098	0.156	-0.058
-0.571	-0.574	-0.453	-0.438	-0.433	-0.455	-0.551	-0.169
-0.1075	-0.395	-0.111	-0.1235	-0.0175	-0.391	-0.5375	-0.6295
-0.4175	-1.0335	-1.11	-0.8085	-0.2155	-0.4435	-0.314	-0.283
0.238	0.504	0.588	0.499	0.744	0.577	0.457	0.362
0.308	0.898	1.198	1.263	1.298	1.296	1.102	0.481
-0.132	-0.264	-0.268	-0.225	0.245	0.173	0.5	0.798
-0.403	-0.388	-0.606	-0.772	-0.154	-0.107	-0.523	-0.401
-0.396	-1.311	-2.186	-1.95	-1.687	-1.403	-1.092	-0.626
-0.283	-0.083	-0.279	0.444	0.581	0.515	0.654	0.209
-0.539	-0.898	-0.841	-0.539	-0.084	-0.078	0.167	-0.154
-0.162	-0.024	-0.2	-0.22	-0.153	-0.08	0.135	-0.184
0.003	0.054	0.031	0.175	0.141	-0.027	0.381	0.117
-0.298	-0.165	-0.241	0.119	0.15	0.263	0.319	0.226
0.368	0.472	0.266	0.181	-0.025	-0.188	-0.426	-0.212
-0.534	-1.499	-1.9473	-2.196	-1.7543	-1.2987	-0.7827	-0.6263
0.29	0.451	0.779	0.627	0.502	0.364	0.167	0.008
0.18	0.403	0.276	0.358	0.521	0.253	0.238	-0.192
0.009	0.46	0.272	-0.122	-0.048	0.159	0.042	-0.112
-0.332	-0.3335	-0.404	-0.5955	-0.4315	-0.2265	-0.452	-0.744
0.326	0.435	-0.149	-0.9	-0.914	-0.601	-0.607	-0.401
0.128	0.952	1.212	1.021	0.977	1.105	0.981	0.613
-0.368	-0.502	-0.405	-0.105	-0.778	-0.4	-0.514	-0.486
-0.204	-0.268	-0.066	-0.037	0.134	0.042	-0.185	0.068
-0.303	-0.5395	-0.491	-0.099	-0.381	-0.034	-0.064	-0.0705
-0.369	-0.882	-0.637	-0.832	-0.983	-0.888	-0.481	-0.57
-0.021	-0.076	-0.061	0.389	0.496	0.555	0.625	0.441
0.088	-0.159	-1.3265	-0.5545	-0.6578	-1.085	0.097	-0.9517
-0.783	-1.238	-1.341	-1.449	-1.089	-0.88	-0.699	-0.252
0.207	0.087	0.115	0.048	0.279	0.091	0.127	-0.006
0.176	0.4805	0.4735	0.726	0.386	0.337	-0.2895	0.003
-0.694	-1.663	-2.461	-2	-1.268	-1.016	-0.591	-0.472
0.09	0.773	1.138	1.059	1.337	1.453	1.344	0.522
-0.002	0.295	0.164	0.196	0.508	0.472	0.119	0.242
0.3935	1.125	1.492	1.8745	2.1775	2.3885	2.02	1.2695
0.248	0.861	1.542	2.022	1.624	1.612	1.935	0.696
0.213	0.319	0.696	0.763	0.483	0.291	0.596	0.493
0.572	1.516	1.972	1.308	1.295	0.731	0.266	0.098
0.135	0.074	0.008	-0.065	-0.063	-0.016	-0.011	-0.119
-0.269	-0.437	-0.3365	-0.4045	-0.1505	-0.202	-0.474	-0.898
0.831	1.549	2.088	1.828	1.227	0.993	0.94	0.737
-0.367	-0.94	-0.956	-0.89	-0.628	-0.682	-0.635	-0.255
0.252	0.47	0.872	0.541	0.25	0.5	0.482	0.306
