0.246	1.82	1.233	1.552	1.029	1.281	1.824	2.14	2.274
0.344	0.821	0.3075	0.285	-0.0955	0.0245	0.116	0.68	-1.6295
-0.477	0.875	0.234	0.487	1.051	0.435	1.674	0.35	0.345
0.014	0.439	0.7	1.157	1.278	1.227	1.276	-0.24	-0.904
0.45	0.116	0.435	0.437	-0.179	-0.355	-0.624	-0.295	-1.818
-0.637	-0.0325	-0.249	0.196	0.431	-0.1175	0.558	-0.366	-3.2435
0.313	1.253	-0.267	-0.366	0.132	-0.554	-1.903	-0.833	-1.942
1.54	3.137	3.667	3.5	3.101	2.498	3.751	3.849	3.041
-0.016	0.568	0.806	0.471	0.515	0.325	1.095	1.074	-1.28
0.087	0.553	0.119	0.012	0.678	1.096	0.546	-0.282	-1.916
-0.4787	0.6313	-0.0117	0.2423	0.1643	0.3433	0.4083	-0.5413	-3.112
-0.6	-0.5845	0.435	0.4545	0.4085	0.4455	-0.0655	1.101	0.6365
0.004	0.935	1.266	0.704	0.466	0.77	0.906	0.365	-1.627
0.954	1.923	0.445	0.064	0.463	0.529	0.577	1.334	-1.559
-0.881	0.217	0.58	0.546	0.374	0.403	0.465	-0.19	-1.652
0.032	-0.48	0.135	0.277	-0.191	-0.346	-0.471	-1.325	-1.328
-0.145	-3.392	-2.349	-1.692	-1.529	-1.098	-1.286	-2.839	-4.345
-1.026	0.635	0.836	1.433	0.674	3.108	1.962	3.737	1.533
-0.171	1.251	1.235	0.733	1.305	0.879	0.837	-0.053	-1.401
-0.711	-0.959	-0.736	-0.72	-0.436	-0.525	-0.337	-1.361	-1.982
0.444	-0.253	1.956	0.181	0.696	0.977	0.98	-0.403	-0.73
0.073	2.427	2.086	1.896	2.217	2.453	2.804	2.453	0.399
-0.333	0.245	0.02	0.078	-0.033	-0.045	-0.788	-2.251	-1.819
0.622	1.101	1.707	1.669	1.656	1.663	2.105	2.235	-0.901
-0.8193	-2.1993	-1.686	-2.0203	-1.675	-1.582	-1.2177	-1.8683	-3.425
0.8035	1.394	1.275	0.851	0.3125	0.1385	0.7725	-0.22	-2.8655
0.47	-0.122	0.495	0.157	-0.431	-0.698	-0.432	0.831	-0.008
0.166	-0.512	-0.731	-0.462	-1.134	-1.248	-1.637	-2.78	-3.277
-0.454	-0.7695	-0.1895	-0.109	-0.306	-0.042	-0.0585	-0.1655	0.12
0.159	-2.487	-2.162	-1.881	-1.898	-1.505	-1.663	-1.969	-3.398
0.603	1.533	0.344	0.818	0.402	0.1	0.214	-0.985	-1.611
0.061	0.328	0.976	0.568	0.778	0.724	0.676	-0.087	-0.157
-0.603	0.313	0.008	0.843	0.866	1.171	1.113	1.187	-1.774
-0.208	0.497	0.973	0.976	0.802	0.854	1.3695	1.378	0.634
-0.272	-0.615	0.104	-0.227	0.155	0.162	0.341	-0.438	-0.329
-0.15	0.098	-0.02	-0.406	-0.531	-0.109	-0.898	-0.5	-2.466
-0.3995	-0.2488	-0.022	0.625	0.8823	1.8815	1.474	2.246	1.189
1.331	-1.533	-0.497	-0.322	-0.62	-0.4	-0.566	0.254	-1.225
0.197	0.918	0.684	0.953	-0.379	0.148	0.344	0	-0.497
-0.377	1.9355	1.345	1.779	1.8055	1.965	1.6815	2.6155	1.989
-0.964	-1.169	-3.661	-3.154	-2.81	-2.903	-2.924	-3.98	-4.21
0.742	0.745	-0.022	0.731	0.026	0.656	0.447	0.445	-1.316
-0.455	1.574	1.486	0.999	0.53	1.084	-0.176	-0.316	-0.661
-0.457	0.191	0.2285	0.383	-0.46	0.3455	0.6515	1.6735	-0.3685
0.672	3.576	3.209	3.416	3.213	3.81	3.979	1.958	1.1
0.61	3.837	3.106	2.678	2.787	2.582	3.939	3.425	1.428
-1.199	-2.394	-1.807	-0.111	-0.115	-0.518	-1.012	0.636	-2.452
0.732	0.956	0.115	0.282	0.103	0.323	-0.231	0.411	-1.162
0.458	-0.296	-0.517	-0.081	-0.496	-0.979	-0.256	-0.874	-2.068
-0.2065	-0.089	0.1415	0.4255	0.821	0.4775	0.3495	-0.3215	-1.9175
0.393	4.238	3.508	3.454	3.542	3.688	3.543	3.746	3.864
-0.309	-0.386	-0.454	-0.186	-0.087	0.056	-0.243	1.279	-0.028
0.385	2.562	1.326	1.454	1.15	1.28	1.681	0.844	-0.5
0.295	0.69	0.719	0.334	0.275	0.181	0.72	0.249	-1.444
0.166	1.48	1.142	1.119	0.563	0.209	-0.612	-1.266	-1.682
0.501	2.141	0.2095	0.549	1.001	1.007	2.249	2.915	-0.364
-0.3893	-0.8453	-0.2917	0.2527	0.2017	-0.547	-0.394	-1.3993	-1.8464
-0.626	-0.462	1.02	0.246	-0.334	-0.288	-0.466	-0.298	1.662
-0.6285	-1.3175	-0.1923	0.2062	0.295	0.4052	2.3175	-0.9516	-1.3135
-0.11	1.737	1.255	1.908	0.981	1.621	1.752	0.683	-0.431
-0.529	0.99	0.473	1.324	0.977	1.411	1.441	0.385	-2.449
0.128	-0.846	-0.213	0.156	0.067	-0.195	-0.256	-1.524	-1.325
0.121	1.066	1.0385	1.1105	0.4365	0.878	0.4405	0.6145	-2.0815
0.098	-0.13	-0.273	-0.203	-0.398	0.207	-0.328	-0.579	-1.182
0.113	-2.266	-1.703	-1.447	-1.88	-1.85	-2.231	-2.163	-4.897
0.753	2.8	3.803	3.926	2.791	3.012	3.134	1.946	0.64
-0.751	1.468	-0.143	0.421	2.012	-0.825	0.254	-0.08	0.448
0.147	0.339	0.1	-0.127	-0.27	-2.058	-2.065	-4.249	-4.128
0.021	-0.6735	-0.752	0.497	-0.0275	-0.0225	0.3955	0.318	-2.861
-0.01	-3.298	-1.867	-2.526	-2.48	-1.406	-1.199	-1.578	-3.376
-0.879	-1.166	-1.074	-0.78	-1.174	-1.571	-0.871	-3.294	-3.171
-0.165	-0.149	-0.235	-0.601	-0.917	-1.138	-0.485	-0.312	-2.16
-0.508	-1.501	-0.519	-1.203	-0.244	0.056	-0.595	0.263	-2.17
-0.083	0.877	0.5	0.575	0.416	0.081	0.912	1.281	-1.504
-0.134	0.449	0.305	0.252	0.35	1.238	0.424	0.058	-2.584
0.553	0.638	0.032	0.693	0.663	0.43	-0.144	-0.482	-2.329
0.136	3.25	1.984	1.19	3.767	1.687	2.416	1.913	1.166
3.545	2.813	2.079	3.396	2.816	1.164	2.163	1.021	-0.174
-1.018	-0.402	-0.747	0.193	-0.738	0.543	0.388	0.63	0.508
0.565	1.578	1.66	1.679	1.083	1.36	2.075	0.3	-0.839
0.115	1.187	0.881	0.226	0.799	0.62	0.717	-0.398	0.423
-0.026	1.534	0.669	1.062	1.267	1.952	1.834	1.589	-1.151
1.23	3.361	1.465	2.32	2.426	1.692	1.983	0.79	-1.384
0.448	1.567	1.352	1.257	1.741	1.222	1.838	0.753	0.347
0.185	-1.208	-0.777	-0.5165	-1.1765	-1.31	-2.145	-3.232	-5.0985
0.834	1.881	2.516	2.015	1.664	1.089	1.48	-0.311	-0.374
-0.675	0.4785	0.3945	-0.778	0.384	0.3585	0.529	-0.7725	-1.2665
-0.06	-0.1495	0.6265	-0.0035	0.148	0.0755	0.426	-0.538	-2.8775
-0.379	-1.366	-0.708	-1.376	-1.376	-1.147	-1.521	-1.724	-4.535
0.2485	1.972	2.5105	1.48	1.2115	1.0395	1.376	0.1425	-0.2105
0.283	0.628	0.816	0.519	-0.171	-0.86	0.007	-1.421	-4.985
-0.584	-4.787	-2.844	-2.506	-2.174	-2.293	-2.346	-4.298	-5.516
-0.308	-0.042	-0.0235	0.631	-0.1815	-0.063	-0.4125	1.063	-0.939
0.62	-0.271	-0.848	-0.232	-0.769	-0.755	-0.043	-1.398	-4.078
0.188	-0.3765	-0.628	-0.2345	-0.2825	-0.4045	-0.0565	-0.3265	-2.07
-0.124	-1.821	-0.931	-0.904	-0.566	-0.292	-0.757	0.061	-1.476
-0.049	-2.42	-1.583	-1.013	-1.386	-1.239	-0.871	-1.224	-2.609
0.033	1.518	0.939	1.162	1.096	1.019	0.629	-1.138	-1.696
0.4425	0.665	0.485	0.4555	0.5385	0.461	1.026	0.897	0.2055
-0.3	0.918	0.74	1.098	1.147	2.457	2.059	1.542	0.471
-0.379	-1.895	-1.726	0.184	-0.636	-0.66	-0.744	-1.109	-1.81
0.018	-0.016	-0.4053	-0.1947	0.5113	-0.941	-0.12	0.053	-1.97
-0.608	0.554	-0.887	-0.338	-0.556	0.744	-0.176	-0.337	0.055
-0.084	-0.2565	-1.0545	-0.8985	-0.3655	-0.4055	-0.051	-0.729	-1.4915
0.2305	1.1405	1.526	0.6495	1.448	0.886	1.134	-0.249	-3.1355
-0.348	-1.209	-1.215	-0.273	-0.8	-0.439	-1.037	-2.089	-2.686
-0.778	0.474	-0.432	0.009	-0.343	0.307	0.207	-0.245	-1.395
0.615	1.271	0.677	1.046	0.866	0.938	0.501	0.323	-0.491
0.325	1.387	1.49	2.119	1.957	2.05	1.645	1.258	-1.732
-0.622	-2.303	-1.93	-2.066	-1.635	-1.655	-0.934	-2.343	-4.009
-0.733	0.017	0.455	0.263	0.489	-0.147	0.846	1.217	-0.366
0.403	0.128	0.401	0.534	0.58	0.615	0.858	-0.201	-0.756
0.281	0.825	0.735	0.659	0.2465	0.2215	0.6665	-0.1065	-0.705
-0.306	0.065	-0.312	-0.468	-0.351	-0.503	-0.825	-1.306	-3.636
-0.1535	-4.668	-2.8315	-2.8295	-2.0985	-2.036	-2.04	-2.4695	-3.79
-0.252	-1.13	-0.394	-0.299	-0.906	0.356	-0.764	-3.124	-3.814
0.477	0.093	0.025	0.175	0.338	-0.03	0.587	-0.054	-2.755
-0.649	-0.459	-0.278	0.453	1.047	0.875	0.656	2.44	0.535
-0.345	-0.0025	0.1325	0.085	-0.235	-0.2115	0.799	0.0505	-0.909
-0.186	-1.609	-0.556	-0.108	-0.832	0.432	0.259	-0.788	-0.488
