2.388	1.341	1.828	1.543	0.867	0.147
-1.4977	-0.99	-0.557	-0.2777	-0.3623	0.1
-2.4685	-0.8985	0.274	-0.815	0.6525	-0.1605
0.407	0.111	0.677	0.202	-0.068	-0.031
0.37	0.475	0.551	0.697	0.729	-0.398
-0.061	-0.051	-0.01	0.102	0.107	-0.132
1.221	1.231	1.229	1.545	0.082	-0.519
2.077	1.883	2.2645	1.4775	0.4355	0.444
-0.23	0.284	0.118	0	-0.019	0.267
0.11	-0.341	-0.41	-0.181	-0.374	0.043
1.401	0.4355	0.6505	0.407	0.1685	0.195
0.6605	0.2705	0.0455	-0.1785	-0.9165	-0.1955
1.159	0.949	0.59	0.977	0.848	-0.081
2.15	1.267	1.559	1.507	1.097	-0.066
0.59	0.946	1.181	0.769	-0.074	0.606
-0.0905	-0.3205	-0.0935	-0.498	-0.647	0.0035
-3.9785	-3.5515	-4.048	-2.957	-1.338	-0.045
0.31	0.273	1.397	0.177	0.05	-0.551
0.258	0.38	0.92	0.374	0.822	0.591
-0.363	-0.474	-0.301	-0.13	-0.733	0.308
0.108	0.152	-0.202	0.263	-1.199	-0.322
1.347	0.737	0.95	0.774	0.292	0.195
0.375	0.104	0.327	0.082	-0.012	-0.214
0.794	0.761	0.842	0.882	-0.156	-0.579
-3.0355	-3.049	-3.3095	-3.0415	-2.017	0.317
0.076	0.459	0.627	0.111	0.725	-0.632
0.102	-0.637	-0.401	-0.223	0.196	0.1745
-0.841	-0.923	-0.782	-0.449	0.192	-0.17
1.681	-0.547	0.634	-0.652	-0.861	-0.562
-2.185	-2.258	-2.097	-1.671	-0.159	-0.814
0.5645	0.397	0.6325	0.4835	0.6465	-0.5845
-0.109	-0.363	-0.077	0	-0.018	0.263
0.986	0.755	0.742	0.818	-0.243	-1.07
-0.393	0.184	-0.133	-0.515	-0.255	0.54
-0.2915	-0.492	0.281	-0.746	-0.6945	-0.2205
0.923	0.691	0.544	0.148	-0.339	-0.823
0.222	-1	-0.273	0.2075	-1.5727	-0.7925
0.693	0.372	0.285	-0.233	-0.209	-0.707
-0.1915	0.4745	0.3365	-0.5055	0.059	-0.4895
0.043	1.482	1.479	0.9385	1.0415	-0.002
-3.181	-2.835	-3.006	-1.949	-1.159	-0.657
-0.595	-0.288	-0.067	0.311	0.455	-0.528
1.303	1.047	1.297	0.967	-0.079	-0.018
0.0385	-0.3185	-0.2175	-0.139	-1.447	-0.7138
2.587	2.048	2.804	2.678	1.716	-0.756
2.202	1.874	1.886	1.322	0.88	-0.74
1.893	0.95	1.098	2.687	3.69	0.423
-0.773	-0.089	0.181	-0.637	-0.2	-0.5574
-0.183	-0.15	-0.064	-0.191	0.039	-0.438
-0.134	-0.056	0.13	0.0045	-0.353	0.093
1.5339	1.301	1.8	1.6185	1.997	-0.0425
-0.629	-0.515	-0.675	-0.796	-0.367	0.04
2.055	1.778	1.742	1.249	0.962	-0.05
0.145	-0.2415	-0.353	-0.2695	-0.554	-0.5685
0.584	0.217	0.389	0.1675	0.5015	0.0475
2.5985	1.7225	2.0915	1.141	0.434	0.313
-0.45	-0.389	0.062	-0.313	-0.361	-0.6175
-0.1205	-0.5625	-0.7845	-0.7765	-0.582	0.408
-0.175	-0.7	-0.662	-1.585	-0.968	-0.043
1.421	0.9	1.073	0.936	0.653	-0.868
0.8125	0.9755	0.847	0.5585	-0.424	0.191
-0.616	-0.874	-0.882	-0.657	-1.1895	-0.069
1.775	1.5515	1.394	1.0475	0.965	-1.1415
-0.408	-0.381	0.004	-0.065	-0.594	0.236
-1.226	-1.729	-1.594	-1.244	-0.499	-0.121
0.183	0.5	0.939	1.156	0.382	0.458
2.584	1.874	1.416	1.572	0.902	-1
0.307	0.644	0.072	-0.271	-0.783	0.294
1.382	0	0.725	0.078	-0.302	-0.312
-1.6415	-2.589	-2.5195	-2.261	-1.4715	-0.1475
-0.1725	-0.324	-0.4235	-0.1655	-0.8455	-0.203
0.081	-0.107	0.194	-0.067	-0.28	0.451
-0.177	-0.274	-0.279	-0.148	0.17	0.022
0.459	0.029	0.276	0.231	0.344	-0.035
0.198	0.033	0.309	-0.177	0.203	0.368
-1.757	-1.222	-0.898	-0.813	-0.014	-0.168
3.139	2.617	2.351	1.742	1.0315	-0.2665
0.842	0.821	0.662	0.506	0.206	0.882
1.094	0.4	0.573	0.393	0.082	0.161
0.109	0.1065	0.4025	0.467	0.1295	-0.1925
-0.364	0.415	1.722	-0.348	-0.145	-0.131
-0.078	0.135	0.69	0.285	-0.696	-0.705
2.3215	2.264	2.2555	1.694	1.573	-0.5395
1.243	1.405	1.714	1.209	0.817	0.198
-0.86	-0.862	-0.963	-0.692	-0.651	-0.587
0.405	0.402	0.6785	0.971	1.144	-0.3065
0.4215	-0.193	0.342	-0.219	0.0325	-0.239
-2.1235	-1.7005	-2.008	-1.491	-0.642	0.122
-0.733	-0.784	-0.461	0.032	-0.251	0.652
-0.0125	-0.2295	0.234	0.146	-0.422	-0.1085
-0.091	0.052	0.144	0.239	0.61	0.221
-3.083	-2.122	-2.976	-2.011	-1.543	-0.008
0.6255	-0.0475	0.2915	-0.1385	-0.1555	-0.1085
0.007	-0.026	0.378	-0.217	-0.819	0.199
-0.2685	-0.011	-0.079	0.036	0.1735	-0.0015
-3.422	-2.053	-3.132	-2.848	-1.641	-0.647
-0.769	0.647	-0.649	-1.115	-1.068	0.085
0.738	1.112	1.541	0.383	1.511	0.19
0.266	-0.078	0.423	0.152	-0.923	-0.085
0.757	0.245	0.508	0.064	0.934	-0.89
-0.445	-0.737	-1.247	-1	-0.282	-0.515
-0.498	-0.672	-0.4125	-0.4415	-0.4	-0.666
0.494	-0.71	-0.141	-1	-0.681	-0.308
-0.215	0.348	-0.4805	-0.2925	-0.266	-0.173
-0.092	-0.054	0.021	0	-0.048	-0.162
0.56	-0.348	-0.039	-0.286	0.081	-0.087
0.395	0.146	0.266	0.034	0.129	0.091
1.0655	1.212	0.9895	0.971	-0.1145	0.1255
0.048	-0.256	0.293	0	-0.163	-1.122
0.496	0.4035	0.473	0.4695	0.6375	-0.17
-1.7655	-1.945	-2.175	-1.6395	-1.588	-0.702
0.3714	-0.3825	0.2225	-0.2845	-0.362	0.12
-0.593	-0.455	-0.111	-0.206	0.228	-0.535
-0.508	0.105	-0.0925	-0.1965	-0.1575	-0.7255
-1.236	-0.743	-0.932	-0.568	-0.586	-0.828
-4.555	-4.087	-4.198	-3.773	-2.102	-1.1
-0.014	-0.3405	-0.0495	-0.27	-0.284	0.3555
0.014	0.0883	1.923	-0.4126	-0.1464	0.279
-0.684	-0.549	-0.077	-0.222	-0.158	-0.03
-0.177	0.0485	-0.038	-0.699	-0.497	-0.3
-1.155	-0.778	-0.975	-0.948	-0.797	-0.295
0.799	0.874	1.213	0.379	-0.145	0.093
2.688	2.179	2.234	1.848	1.419	-0.115
0.9105	1.0645	0.7145	0.6745	0.495	-0.15
1.529	1.974	1.659	1.1	1.005	-0.284
0.6665	0.3585	1.0775	0.2815	-0.2615	-0.426
0.5115	0.424	0.278	0.1715	0.216	-0.276
-1.113	-0.708	-0.879	-1.358	-0.321	-0.257
-3.37	-3.531	-2.81	-2.16	-0.487	0.058
-0.42	0	1.791	-0.138	-0.012	-0.195
-2.691	-3.483	-3.111	-1.987	-0.972	0.618
0.833	0.5745	0.753	0.2605	-0.208	-0.2935
0.726	-0.057	-0.013	-0.341	-0.227	0.055
0.389	0.458	0.624	0.789	-0.118	0.068
0.074	-0.085	0.25	0.314	0.311	-0.424
0.028	0.135	0.508	0.485	-0.087	-0.206
-0.223	-1.044	0.415	-0.093	-0.623	0
-0.801	-0.5115	-0.5385	-0.2375	-0.5945	-0.739
0.599	0.181	0.508	0.667	0.256	-1.082
0.108	-0.29	0.923	0.943	1.262	0.131
-0.073	-0.126	-0.562	-0.363	-0.53	-1.138
0.109	0.217	0.388	0.104	0.333	-0.494
0.918	-0.3685	0.7155	0.889	-0.5285	-0.661
-1.94	-1.861	-1.475	-1.579	-0.569	0.779
0.264	-0.0737	0.4753	0.5583	0.0037	-0.275
0.444	0.362	0.617	0.878	0.617	-1
