0.34	-0.701	-1.318	-0.563	-0.465
0.4375	0.366	0.156	0.5815	0.425
-0.407	-0.596	0.02	-0.756	-0.374
0.239	0.387	0.138	0.062	-0.006
-0.002	0.041	0.071	0.051	-0.01
0.242	0.468	0.347	0.491	0.438
0.186	-0.533	-0.836	-0.604	-0.3
0.744	0.292	-0.361	0.015	0.226
0.452	0.556	0.351	0.298	0.053
-0.355	-0.21	-0.242	-0.274	-0.146
-0.502	-0.341	-0.49	-0.113	-0.0585
0.215	0.392	0.0865	0.1805	0.274
-0.023	-0.41	-0.512	-0.178	-0.083
0.439	0.011	-0.134	-0.29	-0.097
0.442	0.362	0.153	0.218	0.269
-0.117	0.036	-0.013	0.042	0.081
-0.099	0.317	0.388	0.167	0.129
-0.267	-0.285	-0.886	-0.451	-0.349
-0.11	-0.261	-0.161	-0.157	-0.173
0.899	0.817	0.353	0.587	0.156
0.265	-0.075	0.076	-0.107	0.094
-0.393	-0.136	-0.511	-0.435	-0.106
-0.171	-0.436	-0.694	-0.263	-0.166
0.155	-0.293	-0.451	-0.2	0.003
0.248	0.8425	0.8645	0.7125	0.4785
0.1	0.011	-0.445	-0.016	0.07
0.149	0.383	0.143	0.064	0.346
-0.078	-0.002	-0.11	-0.042	-0.105
0.111	0.215	0.049	-0.163	-0.104
0.195	0.322	0.405	0.561	0.426
0.046	-0.194	0.011	-0.143	-0.211
0.221	-0.136	-0.35	-0.208	-0.141
0.409	0.109	-0.126	0.369	0.214
-0.501	-0.226	-0.198	-0.253	-0.149
0.068	-0.452	-0.105	-0.458	-0.023
-0.255	-0.261	-1.848	-0.569	-0.377
1.067	0.53	0.6485	-0.1155	0.323
0.167	0.775	0.627	0.515	0.452
-0.113	-0.659	-0.634	-0.5368	-0.406
0.4025	-0.548	-0.5205	-0.5515	-0.4005
-0.077	0.266	0.154	0.045	-0.125
0.128	0.44	0.206	0.253	0.087
-0.168	-0.325	-0.459	-0.195	-0.111
-0.1615	-0.55	0.3195	-0.202	-0.288
0.267	-0.294	-0.532	-0.521	-0.53
0.201	0.07	0.307	0.501	0.446
4.596	2.718	0.487	0.366	0.522
0.054	-0.184	-1.471	-0.529	0.346
-0.338	-0.063	-0.475	-0.218	-0.072
-0.1885	0.5465	0.562	0.2975	0.481
1.345	-0.629	-0.791	-0.818	-0.615
-0.067	0.294	0.166	0.263	0.144
-0.2	-0.483	-0.33	-0.185	-0.254
-0.09	-0.139	0.093	0.15	0.209
-0.009	0.123	-0.129	-0.03	0.023
0.1585	-0.3095	-0.3635	0.142	-0.106
0.4385	0.436	0.4585	0.5005	0.8635
0.569	-0.393	-0.887	-0.677	0.052
0.364	0.708	0.305	0.397	0.182
-0.491	-0.888	-1.454	-0.72	-0.417
0.104	0.341	0.038	-0.034	0.059
0.106	0.143	0.462	0.627	0.42
0.0305	-0.169	-0.208	-0.2115	-0.327
-0.15	-0.133	-0.323	-0.31	0.122
-0.065	-0.034	-0.116	0.046	0.061
-0.016	-0.794	-0.211	0.282	-0.014
0.476	-0.153	-0.759	-1.192	-0.936
-0.118	-0.114	-0.159	-0.394	-0.274
-0.484	-0.683	-0.389	-0.055	0.034
-0.296	0.433	0.313	0.175	-0.097
0	0.244	0.233	0.27	0.11
0.916	0.278	0.473	0.071	0.171
-0.215	-0.153	-0.135	-0.302	0.023
-0.06	-0.178	-0.177	-0.093	-0.086
-0.05	-0.16	-0.523	-0.468	-0.277
-0.025	-0.094	-0.088	0.184	0.277
0.19	-0.525	-0.462	-0.337	0.269
-0.204	-0.516	-0.679	-0.262	-0.395
-0.139	0.075	-0.182	0.119	0.068
-0.078	-0.467	-0.593	-0.62	-0.404
0.345	0.397	0.19	0.742	0.52
-0.218	-0.573	-3.271	-0.809	-1.132
0.205	-0.074	-0.477	-0.263	-0.15
0.818	0.098	-0.069	-0.129	0.021
-0.041	0.276	0.243	0.23	0.309
0.309	0.113	-0.178	0.097	0.296
-0.2395	0.2325	-0.077	0.2575	0.358
-0.0205	0.414	0.716	0.712	0.602
0.251	0.368	-0.353	-0.399	-0.072
0.1528	-0.2485	-0.15	-0.2665	0.2421
0.01	0.169	-0.021	0.006	0.112
-0.273	0.398	0.507	0.245	0.059
0.059	0.1705	-0.02	0.1035	0.255
0.374	0.037	-0.326	0.552	0.591
