0.226	0.719	1.343	1.709	1.827	0.818
-0.0944	-0.2949	-0.0344	-0.4709	-0.3014	0.1126
-0.73	-0.905	-2.244	-1.127	-2.052	-1.276
0.347	0.539	0.07	0.624	0.93	0.805
-0.057	-0.303	0.408	0.458	-0.069	-0.686
-0.4495	-0.3885	-0.4095	-0.5765	-0.5515	-0.5455
0.082	-0.039	0.604	0.972	0.339	-0.423
-0.023	-0.32	0.064	0.271	1.055	0.069
-0.111	-0.397	0.08	0.081	-0.304	-0.34
0.19	-0.149	0.31	0.168	0.287	0.269
-0.1116	0.0574	0.2387	-0.2523	0.1997	0.055
-0.058	0.192	0.1765	0.157	0.718	0.7725
-0.099	0.458	0.48	1.107	0.641	0.018
-0.187	-0.238	0.263	0.404	0.148	-0.34
-0.314	-0.374	0.029	-0.084	0.223	-0.106
-0.175	-0.08	-0.199	-0.539	-0.509	-0.014
0.064	-0.875	-1.681	-2.212	-2.56	-1.021
0.18	0.278	0.831	1.125	1.691	1.138
-0.384	-0.39	-0.582	-0.243	0.114	0.268
-0.154	-0.109	0.192	0.785	0.453	0.702
0.148	0.834	0.881	1.472	1.742	1.034
0.464	0.078	0.313	0.587	0.833	0.904
0.24	-0.106	0.003	0.319	0.177	0.007
0.093	0.098	-0.232	0.009	0.452	-0.364
-0.304	-0.4714	-1.4117	-2.202	-2.1994	-0.355
-0.099	-0.497	-0.255	-0.3395	-0.1105	-0.595
-0.053	0.019	-0.044	-0.096	-0.371	-0.152
0.533	0.033	-0.097	0.026	-0.613	-0.724
0.0885	0.4135	-0.075	0.241	-0.0435	0.1615
0.114	-0.311	-0.666	-1.579	-2.643	-0.939
0.667	0.487	1.224	0.984	0.541	-0.095
0.548	0.857	0.544	0.333	1.041	0.891
0.308	0.52	0.697	0.414	0.761	0.278
0.212	0.095	0.612	-0.1055	0.205	0.411
-0.267	0.206	0.369	0.82	0.773	0.495
-0.1	0.322	0.019	0.576	0.622	0.141
-0.54	-0.225	0.027	0.821	-0.517	0.29
-0.239	-0.416	-1.697	-1.964	-2.169	-1.271
-0.636	-0.342	-1.127	-0.571	0.482	-0.029
-0.0095	0.322	0.494	0.978	0.9765	0.5095
-0.156	-0.416	-1.463	-2.035	-2.695	-0.398
0.655	0.429	0.179	0.135	-0.368	-0.282
0.29	0.756	0.954	0.939	1.016	0.628
-0.0995	0.608	0.356	0.5895	0.896	0.87
0.496	0.559	1.046	1.989	4	1.146
1.027	-0.102	0.287	1.053	2.118	0.565
1.595	1.004	1.486	2.463	4.055	2.65
0.176	0.02	-0.305	-0.484	-0.327	-0.534
-0.058	-0.3	-0.736	-0.467	-0.538	-0.231
-0.195	-0.077	-0.1445	-0.1575	-0.0205	-0.243
-0.6	0.375	1.97	2.809	2.884	1.127
0.697	0.354	0.032	-0.121	-0.371	0.413
-0.026	-0.016	0.346	0.217	-0.151	-0.262
-0.185	0.01	0.34	0.173	0.035	-0.635
0.571	0.66	0.942	0.767	0.64	0.19
-0.1715	-0.2705	0.046	-0.205	0.381	0.1765
0.1503	0.0343	0.73	-0.6637	-0.5387	0.0557
0.67	0.515	-1.263	0.286	0.528	0.988
-0.4215	-0.293	0.107	1.1005	0.1045	0.5495
0.67	0.743	0.32	1.193	1.533	1.347
-0.01	-0.259	-0.045	0.277	0.433	0.497
0.344	0.354	-0.07	0.1	-0.473	-0.05
-0.1245	0.016	0.284	0.6385	0.4405	-0.0085
-0.641	-0.361	-0.576	-0.801	-1.029	-0.512
-0.217	-0.153	0.389	0.245	-0.188	-0.148
-0.142	-0.327	0.045	0.123	0.999	0.686
-0.247	-0.737	-1.076	-1.643	-1.134	1.046
-0.345	0.009	-1.198	-1.299	-0.179	0.291
0.9735	0.423	0.42	0.4765	1.1205	1.4185
0.754	0.403	-0.263	-0.442	-0.751	0.119
-0.354	0.122	-0.044	-0.133	-0.503	-0.275
0.153	-0.179	0.038	0.06	-0.162	0.04
0.137	0.433	-0.188	-0.03	0.034	-0.16
0.214	0.184	0.297	0.267	0.078	-0.129
0.756	0.747	1	1.246	1.308	0.848
0.074	-0.257	-0.659	-0.851	-0.865	-0.673
0.183	0.823	1.401	1.816	2.214	0.71
-0.415	0.07	-0.149	0.358	-0.096	-0.279
1.068	1.34	1.264	1.075	1.19	0.884
0.289	0.057	0.705	0.726	0.963	0.223
0.199	0.269	0.172	0.456	0.681	-0.035
0.442	1.231	1.52	1.292	1.531	0.944
-0.421	-0.287	-0.237	0.038	0.281	-0.508
0.314	0.625	1.398	1.866	1.621	0.728
0.4585	0.4895	0.742	0.7565	0.2975	-0.154
-0.043	-0.213	0.358	0.365	0.938	0.142
0.019	0.1865	0.4475	0.0995	0.1865	0.4155
-0.643	-0.2925	-0.1105	-0.769	-0.3265	-0.2705
-0.15	-0.529	-0.345	-0.779	-0.997	-0.576
0.112	-0.0175	-0.04	0.5265	1.0095	0.1545
-0.456	-0.43	0.06	-0.399	-0.912	-0.448
0.249	-0.396	-1.183	-2.178	-2.469	-0.847
-0.0061	0.1704	0.4074	0.6324	0.4694	0.3649
-0.238	-0.588	-0.698	-1.46	-1.521	-0.826
0.304	0.0295	0.003	0.0375	-0.337	-0.2725
0.452	-0.094	-0.965	-0.94	-1.202	-0.584
-0.062	-0.233	-0.744	-0.813	-0.839	-0.332
-0.075	-0.176	-0.077	-0.092	0.164	0.006
-0.374	0.129	0.2195	0.2255	0.649	0.5475
-0.06	0.348	0.007	0.831	1.591	1.112
0.848	0.06	0.958	0.485	0.295	1.662
-0.2866	0.1614	0.0254	0.209	0.0017	-0.2116
0.104	0.212	0.644	0.698	0.553	1.064
0.419	0.238	0.2545	0.279	-0.2695	-0.0365
0.685	0.775	0.674	0.8015	1.628	0.6365
-2.807	-0.0081	-0.585	0.2898	-1.585	-3.165
0.641	0.476	0.531	0.777	0.376	0.089
-0.497	0.382	0.521	1.136	1.225	-0.005
0.421	0.425	-0.289	-0.247	-0.103	-0.464
-0.134	-0.331	-0.499	-0.507	-0.268	0.125
-0.225	-0.235	-0.964	-1.372	-1.43	-0.268
-0.4225	-0.066	0.821	0.137	0.65	0.5365
-0.325	-0.382	0.049	0.063	-0.013	-0.387
0.2275	0.5615	1.2375	0.907	1.2575	0.5775
0.595	0.662	-0.352	-0.273	-0.755	-0.146
0.017	-0.565	-1.3245	-2.063	-2.188	-0.789
0.3895	0.415	1.649	2.547	1.4285	0.6865
0.571	0.076	-0.754	-0.328	-0.585	0.306
0.112	-0.26	-0.363	-0.608	-0.952	-0.778
-0.6005	-0.1585	-0.5655	-0.292	-0.135	0.5445
0.778	-0.655	3.07	0.093	-0.611	0.119
0.5205	-0.0005	-0.194	0.33	1.017	0.6555
-0.116	0.36	0.484	1.345	2.254	0.908
0.116	0.171	0.25	0.094	0.228	-0.025
0.447	0.403	0.494	0.578	0.574	-0.018
-0.4355	-0.2715	-0.3665	0.36	1.0165	1.261
0.985	0.733	1.408	1.566	1.337	1.151
0.008	-0.429	-0.964	-1.318	-1.177	-0.939
-0.575	-0.343	-1.184	-2.071	-3.064	-1.254
0.283	0.004	-0.35	-0.138	-0.064	-0.112
-0.5055	-0.4335	-0.421	-0.2655	0.081	-0.047
0.591	0.262	0.521	0.66	0.94	0.721
-0.173	-0.03	0.163	0.024	-0.168	-0.519
-0.152	-0.158	-0.387	-0.007	-0.104	-0.092
-0.225	-0.427	0.7093	0.8625	-0.058	1.4667
0.238	0.072	-0.155	-0.008	0.183	0.031
-0.014	-0.01	0.061	-0.108	0.141	0.482
0.174	0.454	0.502	1.105	1.021	0.422
0.57	0.656	0.582	0.882	2.005	1.082
0.019	0.019	-0.566	-0.415	-0.729	-0.233
0.003	0.145	0.001	0.214	-0.059	-0.408
0.447	-0.54	-0.299	1.433	2.003	0.592
-0.263	-0.247	-0.655	-1.205	-1.909	-0.734
0.35	0.2255	1.011	0.9855	1.151	1.0385
0.1	0.19	0.41	0.15	-0.371	-0.461
0.548	0.1635	0.4645	0.191	0.047	0.516
0.119	0.1625	0.7485	0.301	0.5105	0.243
3	0.415	1.4821	0.9385	1.3404	3
0.498	1.048	1.732	2.2	1.885	0.953
-0.25	-0.313	-0.44	-0.103	-0.047	-0.405
0.291	-0.359	-0.786	-0.695	-0.737	-0.16
0.4685	0.7785	-0.0121	0.3129	0.4845	0.717
-0.7182	0.2818	-0.4552	-0.2153	2.4518	-1.4552
-0.166	-0.317	-0.056	-0.382	-0.284	-0.198
0.554	0.527	0.51	-0.104	-0.429	-0.114
-4.153	-1.082	-3.838	-3.31	-4.294	-3.134
0.388	0.516	0.25	0.701	1.214	0.657
-0.19	-0.46	-0.675	-0.322	-0.109	0.034
-0.239	-0.217	-0.672	-0.588	0.233	0.074
-0.321	0.602	2.524	2.905	3.455	2.073
0.861	1.057	0.637	1.306	1.258	0.637
-0.206	-0.057	0.613	0.56	0.66	-0.469
0.093	0.678	1.814	1.248	1.363	0.556
-0.065	-0.811	-1.746	-1.879	-1.851	-0.864
-0.426	-0.241	0.148	0.207	0.025	-0.4
0.148	-0.169	-0.38	0.386	0.857	0.068
0.121	0.051	0.165	0.268	0.67	0.041
-0.6004	0.5516	0.5376	-0.1244	0.8586	0.3996
0.731	0.536	0.796	0.758	0.497	0.498
-0.272	-0.506	-1.178	-1.906	-2.546	-0.772
-1.07	0.415	-1.07	-1.199	1.041	0.81
-0.1175	0.2845	0.0855	-0.029	0.4615	0.7145
-0.205	-0.661	-1.493	-2.078	-2.195	-0.654
-0.028	0.341	0.174	0.765	0.434	0.131
-0.087	-0.552	-1.912	-3.317	-3.324	-1.393
0.1225	0.027	-1.114	-0.1055	-0.4125	-0.0505
0.077	-0.366	-0.633	-0.417	-0.584	-0.404
0.2125	0.444	0.7765	0.881	0.451	0.453
-0.743	-0.627	-0.85	-0.846	-0.02	0.151
0.02	-0.148	-0.239	-0.593	-0.897	-0.395
0.103	-0.247	-0.42	-0.417	-0.412	0.22
0.412	0.301	0.004	-0.01	0.031	-0.179
0.221	0.342	0.791	0.777	1.25	0.887
0.338	0.47	0.003	0.024	-0.095	0.347
0.338	0.079	1.522	-0.062	0.227	0.681
0.011	-0.207	-0.538	-0.288	-0.153	-0.097
0.469	0.412	0.631	0.568	0.619	0.347
0.162	0.2015	0.852	0.1295	-0.0885	1.6825
0.074	-0.222	-0.345	-1.641	-3.111	-1.107
-0.02	0.615	0.478	-0.085	-0.281	-0.343
0.994	0.787	0.828	1.029	0.872	0.77
-0.454	-0.768	0.252	-0.195	0.2	0.427
0.175	-0.357	-1.198	-1.241	-0.868	-0.408
0.5346	0.27	0.2566	-0.6204	0.3256	1.0846
-0.206	-0.268	-0.903	-1.65	-2.986	-0.599
1	0.0003	-0.0014	0.4111	-2	0.585
-0.288	0.747	2.457	3.211	2.006	0.692
-0.02	0.006	-0.181	0.252	0.369	0.006
0.004	-0.115	-0.301	-0.392	-0.18	0.026
-0.122	-0.033	0.026	0.025	-0.045	-0.233
0.79	0.49	0.546	0.701	1.032	0.597
0.182	0.124	0.575	0.855	0.66	0.35
0.716	0.668	0.222	0.25	0.582	0.693
-0.088	-0.166	-0.739	-0.206	-0.418	-0.426
0.2365	0.136	-0.015	-0.0805	0.067	-0.101
0.041	-0.01	-0.053	-0.062	-0.346	0.105
1.261	0.1801	0.2244	-0.0526	-0.0696	0.1967
-0.297	-0.08	-0.205	-0.907	-0.903	-1.451
-0.3735	-0.1785	0.1245	0.0285	-0.359	-0.116
0.137	0.515	1.581	1.948	1.864	1.061
-0.025	0.798	1.619	1.872	1.229	0.743
-0.164	-0.209	-0.52	-0.261	0.189	0.133
-0.292	0.0255	0.228	-0.031	0.125	-0.076
-0.11	0.091	-0.338	-0.454	-0.138	-0.367
-0.295	-0.135	-0.467	-0.335	-0.35	-0.505
-0.33	-0.638	-1.075	-1.055	-1.916	-0.711
0.0134	0.3997	-0.067	-0.4966	-0.4466	0.4114
-0.317	0.176	0.5025	0.276	1.313	0.1595
0.576	0.677	0.854	1.452	1.538	1.184
-0.252	-0.152	-0.3	-0.6	-1.953	-0.64
-0.001	0.03	-0.422	0.5	0.387	-0.092
0.1645	-0.195	-0.115	-0.331	-0.6055	-0.226
-0.321	0.629	0.776	1.105	0.935	-0.216
-0.101	-0.095	0.327	0.221	0.133	-0.252
2.585	2.17	0.365	0.2663	3.17	1.9072
0.1623	-0.1117	0.495	0.275	0.4767	0.9237
0.069	-0.188	-0.599	-0.754	0.006	-0.273
0.377	0.181	-0.075	-0.062	-0.582	-0.311
0.367	-0.016	0.22	0.313	0.486	0.104
-0.1903	-0.325	-0.4506	-0.9023	-0.6983	-0.2903
0.361	0.08	0.497	0.621	0.171	0.025
0.475	0.755	1.233	1.498	0.907	1.558
0.427	1.5095	0.9085	0.11	-0.0835	0.232
-0.114	-0.0575	-0.02	-0.1005	-0.631	-0.391
0.134	-0.023	-0.627	-1.233	-1.711	-0.576
0.515	0.84	1.581	1.901	1.964	0.597
0.119	0.774	1.707	2.122	1.833	1.323
0.028	-0.191	-0.092	-0.375	-0.259	0
0.314	-0.208	-0.202	-0.79	-0.751	-0.198
-0.11	0.127	0.355	0.467	0.101	0.508
-0.023	-0.562	-0.835	-1.932	-2.329	-1.066
0.033	-0.237	-0.77	-0.9675	-0.143	0.747
0.71	-0.061	-0.653	-0.67	-0.803	-0.456
-0.18	-0.393	-0.592	-0.801	-1.42	-0.663
-0.163	-0.159	-0.437	-0.129	0.049	0.046
-0.202	-0.406	-0.095	0.37	-1.29	-0.033
1.1	0.972	0.388	0.19	0.25	0.857
0.009	-0.001	0.296	0.943	0.121	0.025
