2.234	0.777	1.603	1.263	-0.6203	0.513	0.744	0.249	0.346
-0.0895	0.575	0.135	0.0095	-4.0525	-0.324	0.242	-0.038	0.1065
1.02	-0.311	-0.038	-0.714	-1.0897	-0.446	-0.678	-0.632	-1.142
-0.357	0.765	0.36	0.017	1.331	0.294	0.326	0.065	0.283
-0.268	-0.088	0.157	0.072	-2.666	0.269	-0.153	0.09	0.351
0.102	0.414	0.683	0.151	-0.8509	0.273	0.472	0.152	0.49
0.167	-0.108	0.564	-0.04	-0.737	-0.006	-0.252	0.093	0.354
-0.177	-0.133	0.151	0.258	-0.3686	0.471	0.761	0.562	0.625
-0.08	0.025	0.562	0.293	3.864	0.245	0.228	0.164	0.465
-0.451	0.007	0.15	-0.365	-0.8231	0.069	0.533	-0.06	0.249
-0.334	0.131	0.3725	-0.0555	-1.1947	0.1715	0.496	0.0645	0.3045
0.372	0.354	0.463	0.3525	-1.5071	0.083	0.1385	0.0165	0.2335
0.028	0.274	0.512	0.896	-2.7783	0.393	0.656	-0.073	0.155
-0.036	0.242	0.365	0.122	-2.1752	0.876	0.89	0.6	0.551
0.096	-0.613	0.055	1.004	0.525	0.518	0.728	0.362	0.147
-0.484	-0.856	-0.519	-0.198	-1.7923	0.111	-0.78	0.222	0.127
-0.011	0.55	0.472	1.2	-0.712	0.482	0.262	0.186	0.334
-0.258	0.058	0.182	-0.617	0.0038	0.566	0.836	0.579	0.546
-0.029	-0.958	-0.622	-0.113	0.1341	0.061	0.625	0.01	0.284
0	0.929	1.12	0.31	-4.654	0.197	0.424	0.131	0.296
-0.536	-2.97	0.049	-0.182	0.106	-0.139	-0.248	-0.151	0.077
1.14	0.08	-0.145	0.5	-0.4262	0.405	0.553	0.487	0.506
0.0785	-0.505	-0.1755	-0.178	-0.0788	0.0245	0.5645	0.1735	0.207
0.535	0.571	0.93	0.754	-1.4348	0.303	0.265	0.477	0.043
-0.171	-0.094	-0.2	-0.324	0.5919	0.203	0.6	0.286	0.462
0.311	0.541	0.648	0.209	-5.39	-0.148	0.06	-0.087	-0.296
-0.378	-0.132	-0.317	-0.262	-0.8627	0.005	-0.068	-0.137	-0.041
-0.207	-0.958	-1.074	-0.486	-2.45	-0.509	-0.445	-0.177	-0.478
1.267	1.714	1.717	0.503	-4.0931	0.2845	0.347	0.301	0.598
-0.576	-0.026	-0.25	-0.453	0.7989	0.261	0.194	0.076	0.174
0.383	0.556	0.794	0.771	-2.485	-0.248	0.295	0.137	-0.461
1.07	-2.131	0.415	0.171	-5.225	-0.256	0.177	-0.27	-0.643
-0.305	-1.181	-0.426	-0.687	-0.5665	0.065	0.131	-0.327	-0.01
0.552	0.973	0.806	-0.029	5.392	0.096	0.156	0.397	0.655
0.298	0.2573	0.0265	-0.4305	-1.6297	-0.351	-0.1095	-0.0875	-0.207
0.55	-1.941	-1.465	-0.344	-4.578	0.054	0.013	0.245	-0.202
-0.112	0.291	1.017	0.022	0.912	0.141	0.13	0.185	-0.446
0.183	0.4095	0.2275	0.0395	-1.8222	0.1295	0.243	-0.151	0.069
-0.407	-1.005	-0.836	0.06	1.131	-0.741	-0.02	-0.512	-1.002
0.596	0.339	0.611	1.043	-1.528	0.034	0.289	0.29	0.15
3	0.962	1.091	0.745	-1.4605	0.1201	0.2306	0.07	-0.0699
1.9295	1.975	2.105	1.4165	2.514	0.8935	0.879	0.662	0.802
0.555	2.065	2.3	0.733	1.661	1.324	0.657	1.063	1.221
0.193	0.141	0.287	-0.065	0.556	0.451	0.136	0.399	0.457
1.496	1.199	0.97	1.476	-0.392	1.589	1.261	0.996	1.092
0.873	0.669	0.958	0.182	-1.849	-0.247	-0.148	0.194	-0.167
0.443	0.205	-0.229	-0.31	-4.727	0.176	-0.403	0.269	0.446
-0.289	0.1545	0.1395	-0.162	-0.9408	0.0745	0.6325	0.0255	0.1595
1.768	2.526	2.309	1.101	-2.3132	0.356	0.776	0.204	0.614
0.474	-0.441	-0.39	-0.323	-0.0014	0.179	0.548	0.022	0.208
0.868	1.844	1.517	0.613	-3.006	0.51	-0.067	0.326	0.469
