,click_0.50,click_0.51,click_0.52,click_0.53,click_0.54,click_0.55,click_0.56,click_0.57,click_0.58,click_0.59,click_0.5,click_0.60,click_0.61,click_0.62,click_0.63,click_0.64,click_0.65,click_0.66,click_0.67,click_0.68,click_0.69,click_0.70,click_0.71,click_0.72,click_0.73,click_0.74,click_0.75,click_0.76,click_0.77,click_0.78,click_0.79,click_0.80,click_0.81,click_0.82,click_0.83,click_0.84,click_0.85,click_0.86,click_0.87,click_0.88,click_0.89,click_0.90,click_0.91,click_0.92,click_0.93,click_0.94,click_0.95,click_0.96,click_0.97,click_0.98,click_0.99,click_1.00,click_1.0
YAR028W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,16,13,16,18,14,17,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YAR029W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,14,14,11,3,9,13,7,6,6,6,4,15,12,3,3,7,3,1,1,2,2,3,3,3
YAR031W,4,4,4,4,4,4,4,4,0,4,4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,16,0,14,0,18,17,12,8,14,11,0,11,10,10,13,13,17,15,0,0,0,0,0,0,0,9,9
YAR047C,1,5,3,3,3,5,3,3,5,5,1,3,5,6,6,5,6,6,5,6,6,6,7,6,7,7,7,7,7,14,14,11,7,9,13,12,13,0,0,0,0,7,7,0,0,10,0,4,0,0,7,5,5
YAR050W,3,5,3,3,3,5,3,3,5,5,3,3,3,5,5,1,1,5,5,5,6,6,5,6,5,7,7,7,7,8,7,10,7,10,8,5,5,4,4,3,4,4,4,4,3,10,4,4,3,0,7,5,5
YAR060C,1,1,1,1,1,1,1,1,7,7,1,1,1,1,9,9,8,9,8,8,10,10,9,9,11,13,12,1,11,10,13,14,10,4,8,13,14,9,11,2,14,15,12,12,11,12,10,3,1,1,14,5,5
YAR061W,1,5,3,1,4,5,4,0,7,7,1,0,5,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,5
YAR062W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,9,9,14,13,14,12,11,5,7,6,4,5,4,4
YAR068W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,14,13,14,12,11,9,9,6,4,1,4,4
YAR071W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,8,2,12,10,12,14,13,12,13,10,13,9,7,7,9,8,8,8,7,7,6,6,6,8,7,8,8,8,7,3,2,2
YAR073W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,8,7,7,6,6,6,8,7,8,8,8,7,1,2,2
YAR075W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,8,8,7,7,6,6,6,8,7,8,12,8,7,1,2,2
YBL001C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,16,1,1,2,18,2,2,2,2,2,2,2,2,2,2,2,9,13,2,14,7,5,1,1,4,1,1
YBL002W,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,6,3,2,2
YBL003C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YBL004W,2,2,2,2,2,2,2,6,4,10,2,2,6,2,2,2,2,10,2,10,2,0,0,14,2,2,0,0,0,0,15,16,13,16,18,14,17,0,0,0,0,0,0,0,8,7,8,8,8,7,0,12,12
