,click_0.50,click_0.51,click_0.52,click_0.53,click_0.54,click_0.55,click_0.56,click_0.57,click_0.58,click_0.59,click_0.5,click_0.60,click_0.61,click_0.62,click_0.63,click_0.64,click_0.65,click_0.66,click_0.67,click_0.68,click_0.69,click_0.70,click_0.71,click_0.72,click_0.73,click_0.74,click_0.75,click_0.76,click_0.77,click_0.78,click_0.79,click_0.80,click_0.81,click_0.82,click_0.83,click_0.84,click_0.85,click_0.86,click_0.87,click_0.88,click_0.89,click_0.90,click_0.91,click_0.92,click_0.93,click_0.94,click_0.95,click_0.96,click_0.97,click_0.98,click_0.99,click_1.00,click_1.0
YDR492W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YDR496C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YDR500C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YDR501W,2,5,3,3,3,5,3,3,7,7,2,2,2,8,2,6,7,8,2,2,12,11,12,11,12,11,11,11,13,12,12,12,0,0,13,12,13,12,0,0,0,0,0,0,0,0,0,0,0,0,12,5,5
YDR502C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YDR505C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,13,1,1,1,2,2,2,2,2,2,2,2,2,11,2,2,2,2,2,2,2,3,3,1,1,14,1,1
YDR511W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,5,1,2,1,1
YDR513W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,4,4,4,3,4,7,5,1,1,4,1,1
YDR516C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,4,4,9,8,6,4,7,5,3,1,4,1,1
YDR523C,4,4,1,2,2,2,4,4,4,10,4,4,6,2,2,2,2,10,4,4,9,2,2,14,6,6,6,6,0,0,15,16,13,18,18,14,17,7,13,12,12,0,15,0,0,0,0,0,0,0,5,4,4
YDR526C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,17,15,6,16,12,7,8,8,9,10,10,10,11,9,9,9,4,1,2,2
YDR529C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,6,6,6,6,7,7,8,6,10,4,4,3,2,3,3,3
YDR536W,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,4,1,14,1,1,1,1,1,1,4,1,4,4,5,4,4,4,12,8,20,4,4,5,5,5,5,5,5,5,5,5,6,10,7,0,10,9,9
YDR541C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,6,6,6,6,7,7,7,8,8,9,10,10,10,13,9,9,9,4,1,2,2
YEL005C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,6,5,1,2,1,1
YEL011W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,4,4,4,3,4,4,4,3,1,4,1,1
YEL012W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,10,4,4,3,4,4,4,4,3,4,3,5,1,1,4,1,1
YEL020C,4,4,4,4,4,4,4,2,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,14,13,14,12,11,0,0,6,4,5,4,4
YEL021W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YEL022W,1,1,4,1,4,4,1,4,7,4,1,1,1,10,9,9,8,9,8,8,10,10,9,9,11,13,12,0,11,0,4,15,5,4,4,4,4,5,11,5,14,11,12,12,11,12,10,6,5,0,14,1,1
YEL023C,4,4,4,4,4,4,4,4,4,4,4,4,8,4,11,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,15,6,13,10,10,9,7,7,9,9,8,8,7,9,6,5,7,6,4,8,4,4
YEL024W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,6,6,6,7,7,8,6,10,4,4,3,2,4,3,3
YEL026W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,8,7,7,6,6,6,8,7,8,12,11,7,3,2,2
YEL035C,1,1,1,1,1,1,3,2,6,6,1,5,3,7,7,7,5,7,6,10,11,7,10,13,10,14,15,14,0,0,16,7,0,12,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,6
YEL039C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,5,5,4,4,3,4,4,4,4,3,4,4,4,3,1,4,1,1
YEL040W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,7,6,6,3,4,15,12,16,11,7,9,1,1,2,2,3,3,3
YEL042W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,2,2,1,10,13,9,7,7,9,8,8,8,7,7,6,6,6,13,7,8,8,8,5,3,2,2
YEL046C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,13,12,13,10,13,9,7,7,9,8,8,8,7,7,6,6,6,13,16,8,11,10,6,3,2,2
YEL050C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,7,5,1,1,4,1,1
YEL054C,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,6,3,2,2
YEL055C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,8,8,7,7,6,6,6,8,7,8,8,8,5,1,2,2
YEL059C-A,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,2,4,4,4,4,0,4,4,14,0,0,0,0,0,0,15,0,0,18,20,0,9,0,13,12,12,8,15,0,0,6,0,0,0,0,10,4,4
YEL060C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,7,1,2,1,1
YEL064C,1,5,3,3,3,5,3,3,5,5,1,3,5,6,6,5,6,6,5,6,6,6,11,6,7,7,7,7,7,8,7,10,7,10,8,12,14,9,4,3,10,11,12,4,3,10,4,4,3,0,7,5,5
YEL065W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,12,12,9,1,7,1,8,8,8,7,7,6,6,6,8,7,8,8,8,5,1,2,2
YEL066W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,17,15,5,13,10,10,9,10,9,9,9,8,8,7,9,6,5,7,6,4,5,4,4
YEL070W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,14,1,1,1,1,1,1,1,10,11,2,9,2,2,9,2,18,2,2,2,4,4,4,2,2,4,4,3,1,1,4,1,1
YEL071W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,6,7,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,7,1,2,1,1
YEL076W-C,1,5,1,1,5,5,1,1,1,1,1,1,1,10,9,9,8,9,8,8,10,10,9,9,11,15,13,12,0,0,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
YER001W,2,5,3,2,2,5,4,2,7,7,2,2,2,8,2,6,7,8,2,2,12,11,12,11,12,11,11,11,13,12,12,12,6,17,15,6,16,12,7,8,8,14,10,14,10,11,9,9,9,4,1,5,5
YER004W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,9,6,5,7,6,4,2,4,4
YER006W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,5,1,2,2
YER011W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,5,5,5,4,12,17,7,6,6,6,6,10,10,11,8,7,9,7,5,3,2,3,3,3
YER014W,1,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,7,9,6,5,7,6,4,2,1,1
YER015W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,3,4,3,3,1,1,4,1,1
YER018C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YER020W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,14,2,18,17,12,8,14,11,10,11,10,2,2,2,2,2,2,2,3,3,7,1,2,1,1
YER025W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,8,7,8,8,8,7,1,2,2
YER028C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,6,6,6,6,6,6,17,15,6,6,6,10,9,10,9,9,9,8,8,7,10,6,5,7,6,4,5,4,4
YER033C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YER035W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,16,1,14,2,18,17,12,8,14,11,10,11,10,10,13,13,17,15,2,2,3,3,7,1,2,1,1
YER036C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,8,3,1,2,2
YER037W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,10,7,1,2,1,1
YER038C,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,10,7,4,2,1,1
YER039C,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,9,8,9,8,8,10,10,9,9,11,15,13,12,11,4,13,14,10,13,4,4,15,5,12,11,11,15,14,12,11,12,10,6,5,1,8,1,1
YER043C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YER044C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,4,7,5,1,1,4,1,1
YER044C-A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,9,10,10,10,13,9,9,9,4,1,4,4
YER046W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,5,5,5,4,5,9,5,5,4,4,3,4,4,4,4,3,4,4,5,3,1,4,1,1
YER052C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,10,13,9,7,7,9,8,8,8,7,7,6,6,6,8,7,8,8,8,5,1,2,2
YER053C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,1,1,14,1,1,1,2,18,9,2,2,9,2,10,2,2,2,2,4,9,2,2,14,7,5,1,1,4,1,1
YER056C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YER056C-A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YER058W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,4,3,3,1,1,4,1,1
YER062C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,7,7,13,12,12,8,15,7,12,6,5,7,6,4,5,4,4
YER067W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,9,5,5,4,4,3,4,4,9,8,6,4,7,5,1,1,4,1,1
YER069W,2,5,3,4,5,5,4,2,7,7,2,2,2,8,2,6,7,8,2,2,12,11,12,11,12,11,11,11,13,12,12,12,0,17,15,15,16,12,0,8,8,14,10,14,10,13,9,9,9,4,12,5,5
YER070W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,2,2,2,2,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,5,1,2,2
YER073W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,8,5,1,2,2
YER074W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YER076C,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,10,4,4,4,2,2,4,6,6,6,6,6,6,15,16,13,16,18,14,17,7,13,12,12,9,15,10,10,13,9,9,9,3,1,4,4
YER079W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YER080W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,2,2,3,6,5,1,2,1,1
YER082C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YER084W,1,1,1,1,1,1,3,1,1,1,1,5,3,5,8,1,1,5,7,7,7,9,8,8,9,9,8,9,8,9,8,8,0,14,11,8,11,0,0,0,0,0,0,0,0,8,0,0,0,0,9,6,6
YER086W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,8,7,8,8,8,5,1,2,2
YER088C,4,4,4,4,4,4,4,2,4,10,4,2,6,2,2,2,2,10,4,4,9,2,2,14,6,6,6,6,6,6,15,16,13,16,18,14,17,7,13,12,12,9,15,10,10,13,9,9,9,4,5,4,4
YER089C,3,3,3,3,3,5,3,3,5,5,3,3,3,5,5,1,1,5,5,5,5,5,5,5,5,5,7,7,7,14,5,11,4,10,5,5,5,4,4,3,4,10,4,4,3,10,4,4,3,0,7,3,3
YER091C,3,3,1,1,1,1,3,1,1,1,3,1,3,10,9,9,8,9,8,5,8,7,11,7,8,8,9,8,9,7,9,7,8,11,12,2,12,2,12,11,11,11,11,13,3,14,7,5,3,1,14,8,8
YER095W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,11,13,10,10,11,10,13,14,10,2,2,13,15,9,2,11,2,11,12,12,2,15,3,3,1,1,2,1,1
YER096W,1,5,1,1,4,1,1,1,1,1,1,1,1,10,9,9,8,9,8,8,10,10,9,9,11,13,13,12,11,10,13,14,10,13,10,10,15,9,12,11,11,15,14,12,11,12,10,6,5,0,8,8,8
YER102W,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YER103W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,10,11,11,17,11,8,14,11,10,11,10,10,13,13,17,15,5,5,6,10,7,0,13,9,9
YER110C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,8,8,8,5,1,2,2
YER117W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YER119C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,10,6,5,1,2,1,1
YER121W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1
YER124C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,14,13,14,12,11,9,9,9,4,1,4,4
YER126C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YER127W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,15,6,16,12,1,8,8,9,10,10,10,13,9,9,9,3,1,2,2
YER131W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YER135C,1,1,1,1,1,1,3,1,1,1,1,5,7,9,10,8,9,11,7,7,7,9,8,8,9,9,8,9,8,9,8,8,0,14,11,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,6
YER141W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,1,1,4,1,1
YER142C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,1,2,1,1
YER143W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,14,11,18,17,12,8,14,11,10,11,10,10,13,13,17,15,5,5,6,10,7,1,13,1,1
YER145C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,8,7,7,6,6,6,8,7,8,8,8,5,1,2,2
YER150W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,10,7,1,2,1,1
YER152C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,7,7,7,8,9,14,13,14,12,11,5,7,6,4,5,4,4
YER156C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,8,3,1,2,2
YER158C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,18,6,7,7,13,12,12,8,15,7,12,6,5,7,6,4,5,4,4
YER163C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,9,11,2,14,2,2,2,2,2,2,2,2,2,2,2,3,3,7,1,2,1,1
YER165W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,7,7,9,8,8,8,7,1,6,6,6,8,7,8,8,8,7,1,2,2
YER177W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,10,7,1,2,1,1
YER181C,1,1,1,1,1,1,3,1,1,1,1,5,3,5,5,1,1,5,7,7,7,9,8,8,9,9,8,9,8,9,8,8,4,14,11,8,11,6,6,6,6,7,7,9,6,8,0,0,0,0,9,6,6
YER183C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,3,3,1,1,4,1,1
YER185W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,14,13,14,10,11,9,9,9,4,1,4,4
YER187W,1,1,1,4,1,5,1,5,1,9,1,1,1,12,8,10,0,14,1,1,14,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
YFL002C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YFL010C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,10,7,1,2,1,1
YFL010W-A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,10,7,4,2,4,4
YFL011W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,6,6,6,6,7,7,9,6,8,4,4,3,2,6,3,3
YFL014W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,6,10,7,1,2,1,1
YFL015C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,7,8,11,9,2,2,2,4,3,4,4,9,13,3,14,7,5,1,1,4,1,1
YFL019C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,11,11,9,11,2,9,2,10,2,2,10,2,13,2,2,2,2,3,5,1,1,4,1,1
YFL021W,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,9,6,5,7,6,4,2,1,1
YFL023W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,6,6,6,6,7,7,7,8,8,9,10,10,10,13,9,9,9,4,1,2,2
YFL029C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,13,13,17,15,5,5,6,10,7,1,2,1,1
YFL031W,4,4,4,4,4,2,4,6,8,8,4,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
YFL034C-A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,9,7,7,9,8,8,8,7,7,6,6,6,13,16,11,11,10,6,3,2,2
YFL040W,4,4,4,4,4,4,4,6,8,10,4,4,6,4,1,4,1,4,4,1,4,4,4,14,0,0,0,0,0,0,0,0,0,18,20,0,0,0,13,12,12,8,15,0,0,0,0,0,0,0,10,4,4
YFL042C,2,5,2,2,2,5,2,6,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
YFL044C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,20,4,9,10,9,5,5,5,5,7,5,6,5,10,6,4,10,4,4
